"price_eur","car_model","mileage_km","year_first_registration","seller_name","car_link","scrapedate"
"€ 37,940.-","Volkswagen ID.4 Pro Performance Navi, LED-Matrix, Panoramad","15,950 km","08/2023","Auto Bach GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-led-matrix-panoramad-electric-black-af978ddc-94ea-4d47-a3f6-5b3ca79d41d5","2024-12-17"
"€ 24,940.-","Volkswagen ID.4 Pure NAV/LED/RFK/Keyless/SH","29,758 km","07/2022","Fischer Automobile Amberg GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-nav-led-rfk-keyless-sh-electric-grey-4da929e2-ed37-4958-9093-71acdb6e86e2","2024-12-17"
"€ 37,490.-","Volkswagen ID.4 Pro Performance IQLight AHK SportPlus HUD","5,826 km","12/2022","Budde Automobile GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-iqlight-ahk-sportplus-hud-electric-grey-eff8b4f9-88b4-4140-a12c-8b634f6f97b3","2024-12-17"
"€ 36,490.-","Volkswagen ID.4 Pro Performance+Fahrerprofilauswahl+Sprachsteuerun","11,500 km","12/2022","Auto Brucker GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-fahrerprofilauswahl-sprachsteuerun-electric-black-11464157-0432-49e7-83df-fad84e0422ec","2024-12-17"
"€ 31,590.-","Volkswagen ID.4 Performance Upgrade Pro 1st LED NAVI ACC AHK","31,900 km","09/2021","Autohaus Kornkoog GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-performance-upgrade-pro-1st-led-navi-acc-ahk-electric-white-f5478b5e-7bd5-4af4-80be-c35b86910e23","2024-12-17"
"€ 38,970.-","Volkswagen ID.4 Pro Performance Wärmepumpe AHK RearView","5,863 km","11/2023","WH Autozentrum","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-waermepumpe-ahk-rearview-electric-black-65598661-1efe-4600-a2a1-69a5cfba37ce","2024-12-17"
"€ 55,485.-","Volkswagen ID.4 GTX 4MOTION AHK 21"" TopSportPlus Wärmepumpe","17,950 km","08/2024","Autohaus Steinböhmer GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4motion-ahk-21-topsportplus-waermepumpe-electric-grey-71204fde-3960-472b-8b92-34819480771d","2024-12-17"
"€ 42,990.-","Volkswagen ID.4 GTX 4Motion /Wärmepumpe/AHK /Garantie","20,000 km","04/2023","Fa. Jochen Müller e.K.","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4motion-waermepumpe-ahk-garantie-electric-grey-b9b6873f-ce39-4bc4-8195-6d93e13b37dc","2024-12-17"
"€ 41,587.-","Volkswagen ID.4 Pro Performance Wärmepumpe AHK Pano IQ-Light Na...","6,177 km","12/2023","Autohaus Schürer GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-waermepumpe-ahk-pano-iq-light-na-electric-white-aa61ed9e-efce-475a-a8cf-c443ee81f162","2024-12-17"
"€ 30,500.-","Volkswagen ID.4 Pro Performance NAVI MATRIX-LED ACC PDC","50,000 km","09/2021","Autohaus Thieme GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-matrix-led-acc-pdc-electric-white-5cc10699-db28-4b69-bc65-1494942d0abb","2024-12-17"
