"price_eur","car_model","mileage_km","year_first_registration","seller_name","car_link","scrapedate"
"€ 23,890.-","Volkswagen ID.4 Performance Upgrade Pure","30,811 km","10/2021","Emil Frey EF S Automobile","https://www.autoscout24.com/offers/volkswagen-id-4-performance-upgrade-pure-electric-grey-3d28dac4-9335-4db1-a35d-ec6419c06421","2024-12-10"
"€ 37,070.-","Volkswagen ID.4 Pro Performance | NAVI | AHK | ACC | LED |","11,919 km","11/2023","AVP AUTOLAND GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-ahk-acc-led-electric-grey-8eca48e3-4589-4aec-bc45-a2fc64959203","2024-12-10"
"€ 33,950.-","Volkswagen ID.4 Pro Performance 150 kW, Matrix, AHK, ACC, 360°","26,800 km","12/2022","Auto Grieb","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150-kw-matrix-ahk-acc-360-electric-blue-ffd5179f-d401-4d16-8ec3-1170433b6743","2024-12-10"
"€ 34,940.-","Volkswagen ID.4 Pro Performance 77 kW/h SHZ ACC NAVI LED","7,892 km","02/2023","Gövert GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-77-kw-h-shz-acc-navi-led-electric-grey-a65829fe-ad3a-4ad0-a357-c0eb834e8285","2024-12-10"
"€ 42,479.-","Volkswagen ID.4 GTX 4MOTION Wärmepumpe ACC Pano Navi Matrix","13,870 km","06/2023","Autohaus Heitz GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4motion-waermepumpe-acc-pano-navi-matrix-electric-black-58583cd1-8780-4b48-a530-78aa3114cb5f","2024-12-10"
"€ 42,790.-","Volkswagen ID.4 Pro Performance sofort","5,000 km","09/2022","Autohaus Tumbrink GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-sofort-electric-silver-19176157-a15c-4d20-944b-969aaac5cf0d","2024-12-10"
"€ 37,600.-","Volkswagen ID.4 150 kW Pro Performance","16,800 km","10/2022","Karl Bergisch GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-150-kw-pro-performance-electric-black-0ab1f200-e499-4e8a-9fb2-d133589154df","2024-12-10"
"€ 33,990.-","Volkswagen ID.4 150 kW Pro Performance 1st","18,961 km","04/2021","Höper GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-150-kw-pro-performance-1st-electric-grey-dcf9d1c6-9df9-45df-bcf8-1038b00399be","2024-12-10"
"€ 39,995.-","Volkswagen ID.4 150 kW Pro Performance","13,500 km","05/2023","Auto & Service Lohre GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-150-kw-pro-performance-electric-black-01b99a5e-88cd-44ab-91ec-2dcb970e10c4","2024-12-10"
"€ 42,999.-","Volkswagen ID.4 220 kW GTX 4Motion Pano Head Up 360 Kamera Klima","28,000 km","09/2022","Autohaus Pfister","https://www.autoscout24.com/offers/volkswagen-id-4-220-kw-gtx-4motion-pano-head-up-360-kamera-klima-electric-grey-c8579af8-24e3-440f-b97e-9c24dcd43d5e","2024-12-10"
"€ 37,990.-","Volkswagen ID.4 150 kW Pro Performance +AHK+WÄRMEPUMPE+++","23,000 km","08/2022","Höper GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-150-kw-pro-performance-ahk-waermepumpe-electric-black-0bdf2fd7-f3e9-47fa-af5b-336391f89275","2024-12-10"
"€ 29,000.-","Volkswagen ID.4 ID.4+Pro","15,000 km","12/2023",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-pro-electric-white-dfa95a19-f936-44db-b95f-0a7468b3c781","2024-12-10"
"€ 25,950.-","Volkswagen ID.4 Pure Wärmepumpe ACC Kamera EasyOpen Keyless Klima","17,541 km","05/2022","Autohaus Abicht GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-waermepumpe-acc-kamera-easyopen-keyless-klima-electric-blue-5b566874-4756-4a7c-ba21-68277e3c2d4b","2024-12-10"
"€ 29,900.-","Volkswagen ID.4 ID.4 Performance Upgrade Pro","13,302 km","10/2022",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-performance-upgrade-pro-electric-0f25a9e8-7779-4dda-a42d-9279af013093","2024-12-10"
"€ 31,600.-","Volkswagen ID.4 ID.4 Pro","9,500 km","09/2023",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-pro-electric-black-55a24ddc-6391-4416-9757-928df47937e4","2024-12-10"
"€ 32,400.-","Volkswagen ID.4 ID.4+Pro+mit+Infotainment-Paket","5,714 km","04/2023",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-pro-mit-infotainment-paket-electric-silver-65dc80ff-7ec3-46ff-83d3-7e96d8e7a4bb","2024-12-10"
"€ 33,880.-","Volkswagen ID.4 GTX SPORT PLUS+ASSIST PLUS+W-PUMPE+HEAD-UP+PANO+DC","30,000 km","09/2021","Autohaus Peter Ebner GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-sport-plus-assist-plus-w-pumpe-head-up-pano-dc-electric-grey-b5b3f958-21f2-4dd6-bf5f-65acd20600dc","2024-12-10"
"€ 18,950.-","Volkswagen ID.4 52 KWh ""PURE PERFORMANCE"" 170 PS +NAVI+PDC+GANZJAH","120,090 km","07/2021","Autohaus Neutraubling GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-52-kwh-pure-performance-170-ps-navi-pdc-ganzjah-electric-grey-c9eed946-12d1-41d2-8fa4-cad829f2b098","2024-12-10"
"€ 23,900.-","Volkswagen ID.4 Pure Navi Pro RFK APP LED ACC SHZ 19 Zoll*","26,400 km","06/2022","Cars & more","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-pro-rfk-app-led-acc-shz-19-zoll-electric-black-7f27fa32-f13d-400d-ba63-3b450ace4206","2024-12-10"
